ModelName,Density,g0,s
Model01,1,1,1
Model02,1,1,h2
Model03,1,1,b
Model04,1,1,B
Model05,1,1,h2+b
Model06,1,1,h2+B
Model07,1,h2,1
Model08,1,h2,h2
Model09,1,h2,b
Model10,1,h2,B
Model11,1,h2,h2+b
Model12,1,h2,h2+B
Model13,1,b,1
Model14,1,b,h2
Model15,1,b,b
Model16,1,b,h2+b
Model17,1,B,1
Model18,1,B,h2
Model19,1,B,B
Model20,1,B,h2+B
Model21,1,h2+b,1
Model22,1,h2+b,h2
Model23,1,h2+b,b
Model24,1,h2+b,h2+b
Model25,1,h2+B,1
Model26,1,h2+B,h2
Model27,1,h2+B,B
Model28,1,h2+B,h2+B
